

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
080.185  000.873  000.339: sourcing /home/nelson/.local/share/lunarvim/site/pack/lazy/opt/nvim-treesitter/plugin/nvim-treesitter.lua
080.832  000.081  000.081: require('nvim-treesitter.indent')
081.132  000.041  000.041: require('nvim-treesitter.highlight')
081.371  000.134  000.134: sourcing /home/nelson/.local/share/lunarvim/site/pack/lazy/opt/nvim-rg/plugin/rg.vim
081.816  000.077  000.077: sourcing /home/nelson/.local/share/lunarvim/site/pack/lazy/opt/nvim-dap/plugin/dap.lua
082.217  000.028  000.028: require('dap.utils')
082.239  000.357  000.328: require('dap')
082.281  000.024  000.024: require('dap.log')
082.728  000.028  000.028: require('lualine_require')
083.028  000.624  000.596: require('lualine')
083.129  000.019  000.019: require('lvim.core.lualine.conditions')
083.156  000.023  000.023: require('lvim.core.lualine.colors')
083.169  000.090  000.048: require('lvim.core.lualine.components')
083.180  000.149  000.059: require('lvim.core.lualine.styles')
083.392  000.037  000.037: require('lualine.utils.loader')
084.179  000.045  000.045: require('lualine.highlight')
089.808  000.030  000.030: require('project_nvim.config')
089.859  000.021  000.021: require('project_nvim.utils.path')
089.866  000.054  000.033: require('project_nvim.utils.history')
089.868  000.293  000.209: require('project_nvim')
089.967  000.032  000.032: require('project_nvim.utils.globtopattern')
090.051  000.037  000.037: require('project_nvim.project')
090.768  000.046  000.046: sourcing /home/nelson/.local/share/lunarvim/site/pack/lazy/opt/plenary.nvim/plugin/plenary.vim
092.418  000.320  000.320: require('nvim-navic')
092.990  000.070  000.070: sourcing /home/nelson/.local/share/lunarvim/site/pack/lazy/opt/vim-reek/plugin/reek.vim
093.903  000.024  000.024: require('bufferline.lazy')
094.021  000.111  000.111: require('bufferline.constants')
094.086  000.061  000.061: require('bufferline.commands')
094.094  000.537  000.342: require('bufferline')
094.143  000.046  000.046: require('bufferline.utils')
094.225  000.078  000.078: require('bufferline.config')
094.359  000.068  000.068: require('bufferline.groups')
094.427  000.032  000.032: require('bufferline.colors')
094.553  000.047  000.047: require('bufferline.highlights')
095.274  000.042  000.042: require('bufferline.hover')
095.414  000.062  000.062: require('bufferline.ui')
095.924  000.024  000.024: require('mason-core.path')
095.936  000.067  000.043: require('mason.settings')
096.055  000.077  000.077: require('mason-core.functional')
096.113  000.019  000.019: require('mason-core.functional.data')
096.133  000.067  000.048: require('mason-core.functional.function')
096.173  000.026  000.026: require('mason-core.functional.relation')
096.204  000.024  000.024: require('mason-core.functional.logic')
096.216  000.278  000.084: require('mason-core.platform')
096.218  000.667  000.322: require('mason')
096.413  000.056  000.056: require('mason-core.functional.list')
096.435  000.161  000.105: require('mason.api.command')
098.386  000.736  000.736: sourcing /home/nelson/.local/share/lunarvim/site/pack/lazy/opt/copilot.vim/autoload/copilot.vim
098.431  001.517  000.781: sourcing /home/nelson/.local/share/lunarvim/site/pack/lazy/opt/copilot.vim/plugin/copilot.vim
098.994  000.457  000.457: sourcing /home/nelson/.local/share/lunarvim/site/pack/lazy/opt/editorconfig-vim/plugin/editorconfig.vim
099.072  000.019  000.019: sourcing /home/nelson/.local/share/lunarvim/site/pack/lazy/opt/editorconfig-vim/ftdetect/editorconfig.vim
100.185  000.197  000.197: sourcing /home/nelson/.local/share/lunarvim/site/pack/lazy/opt/vim-visual-multi/autoload/vm/plugs.vim
100.921  000.218  000.218: sourcing /home/nelson/.local/share/lunarvim/site/pack/lazy/opt/vim-visual-multi/autoload/vm/maps.vim
101.241  000.130  000.130: sourcing /home/nelson/.local/share/lunarvim/site/pack/lazy/opt/vim-visual-multi/autoload/vm/maps/all.vim
103.329  003.867  003.321: sourcing /home/nelson/.local/share/lunarvim/site/pack/lazy/opt/vim-visual-multi/plugin/visual-multi.vim
104.328  000.433  000.433: require('nvim-treesitter-textobjects')
104.601  000.036  000.036: require('nvim-treesitter.textobjects.shared')
104.608  000.089  000.053: require('nvim-treesitter.textobjects.select')
104.695  000.029  000.029: require('nvim-treesitter.textobjects.attach')
104.748  000.050  000.050: require('nvim-treesitter.textobjects.repeatable_move')
104.754  000.121  000.043: require('nvim-treesitter.textobjects.move')
